tipo_objeto,material,estado,uso_deseado,presupuesto,cantidad,transformacion,ciudad,preferencia,producto_recomendado
carta_documento,vidrio,danado,restaurar,84172,1,leve,Cali,fisico,Libro de Memorias
fotografia,metal,regular,compartir,110987,1,moderada,Bogota,digital,Memorial Digital
carta_documento,metal,danado,restaurar,71832,1,leve,Cali,fisico,Libro de Memorias
peluche,vidrio,regular,compartir,82293,1,ninguna,Bucaramanga,fisico,Peluche Memoria
otro_objeto,mixto,danado,restaurar,81639,5,moderada,Barranquilla,fisico,Restauración Especial
prenda_textil,cuero,muy_danado,conservar,53145,2,ninguna,Medellin,fisico,Almohada Abrazo
carta_documento,papel,regular,conservar,112044,2,total,Bucaramanga,fisico,Libro de Memorias
joya_pequena,cuero,muy_danado,compartir,78570,1,total,Cali,fisico,Caja del Tiempo
peluche,papel,regular,restaurar,95437,1,ninguna,Medellin,fisico,Peluche Memoria
prenda_textil,madera,bueno,compartir,111826,1,total,Cali,fisico,Almohada Abrazo
carta_documento,vidrio,muy_danado,conservar,110628,2,moderada,Bucaramanga,fisico,Libro de Memorias
joya_pequena,cuero,bueno,recordar_digitalmente,118288,1,leve,Cali,digital,Memorial Digital
prenda_textil,tela,regular,transformar,91553,2,moderada,Barranquilla,fisico,Almohada Abrazo
carta_documento,cuero,danado,recordar_digitalmente,80184,1,total,Bogota,fisico,Libro de Memorias
reloj_instrumento,peluche_sintetico,danado,conservar,92209,1,ninguna,Cali,fisico,Restauración Especial
fotografia,mixto,muy_danado,transformar,35943,1,total,Barranquilla,digital,Memorial Digital
otro_objeto,peluche_sintetico,muy_danado,transformar,44351,1,ninguna,Medellin,fisico,Restauración Especial
otro_objeto,vidrio,muy_danado,recordar_digitalmente,48705,1,ninguna,Cali,fisico,Restauración Especial
prenda_textil,cuero,bueno,recordar_digitalmente,60096,1,ninguna,Medellin,fisico,Almohada Abrazo
otro_objeto,mixto,bueno,restaurar,108992,1,leve,Cali,fisico,Restauración Especial
otro_objeto,papel,bueno,recordar_digitalmente,63308,2,leve,Cali,fisico,Restauración Especial
reloj_instrumento,papel,regular,conservar,81764,1,ninguna,Medellin,fisico,Restauración Especial
carta_documento,vidrio,muy_danado,compartir,140472,5,leve,Barranquilla,fisico,Libro de Memorias
reloj_instrumento,metal,regular,conservar,82530,1,total,Cali,digital,Memorial Digital
carta_documento,tela,danado,transformar,120813,3,total,Medellin,fisico,Libro de Memorias
otro_objeto,peluche_sintetico,danado,recordar_digitalmente,62323,2,total,Barranquilla,digital,Memorial Digital
joya_pequena,metal,muy_danado,restaurar,87809,3,total,Bogota,fisico,Caja del Tiempo
otro_objeto,cuero,muy_danado,restaurar,61749,1,ninguna,Medellin,fisico,Restauración Especial
mueble,papel,muy_danado,conservar,83133,1,total,Bogota,fisico,Restauración Especial
reloj_instrumento,madera,bueno,compartir,124410,2,moderada,Cali,fisico,Recuerdo Compartido
reloj_instrumento,papel,danado,recordar_digitalmente,34543,1,moderada,Barranquilla,digital,Memorial Digital
peluche,papel,regular,transformar,110204,5,ninguna,Barranquilla,digital,Memorial Digital
prenda_textil,mixto,regular,transformar,103320,4,ninguna,Cali,fisico,Almohada Abrazo
carta_documento,peluche_sintetico,danado,compartir,74204,1,total,Bucaramanga,fisico,Libro de Memorias
fotografia,madera,regular,conservar,44387,2,total,Bucaramanga,fisico,Libro de Memorias
otro_objeto,madera,regular,compartir,97524,2,total,Cali,fisico,Recuerdo Compartido
otro_objeto,vidrio,regular,conservar,76467,1,moderada,Bucaramanga,fisico,Restauración Especial
reloj_instrumento,vidrio,muy_danado,transformar,103143,1,total,Barranquilla,fisico,Restauración Especial
reloj_instrumento,peluche_sintetico,danado,transformar,95764,1,total,Cali,fisico,Restauración Especial
peluche,mixto,danado,restaurar,151062,2,moderada,Medellin,fisico,Restauración Especial
carta_documento,madera,bueno,conservar,86622,1,total,Bogota,fisico,Libro de Memorias
fotografia,papel,danado,transformar,59177,2,leve,Medellin,fisico,Cuadro de Historia
mueble,vidrio,regular,transformar,101274,4,total,Cali,fisico,Restauración Especial
mueble,papel,muy_danado,conservar,102699,1,leve,Barranquilla,digital,Memorial Digital
mueble,papel,muy_danado,conservar,142571,1,ninguna,Barranquilla,fisico,Restauración Especial
carta_documento,cuero,danado,conservar,124228,2,total,Bogota,fisico,Libro de Memorias
mueble,metal,bueno,compartir,107490,4,moderada,Barranquilla,fisico,Recuerdo Compartido
peluche,tela,danado,compartir,146215,1,leve,Bucaramanga,fisico,Restauración Especial
otro_objeto,peluche_sintetico,muy_danado,recordar_digitalmente,53393,2,leve,Barranquilla,fisico,Restauración Especial
otro_objeto,cuero,danado,conservar,72608,2,leve,Barranquilla,fisico,Caja del Tiempo
joya_pequena,peluche_sintetico,bueno,transformar,62569,1,moderada,Bogota,fisico,Caja del Tiempo
joya_pequena,papel,muy_danado,conservar,81356,2,ninguna,Bogota,fisico,Caja del Tiempo
joya_pequena,madera,regular,conservar,46815,3,leve,Bucaramanga,fisico,Caja del Tiempo
joya_pequena,peluche_sintetico,regular,recordar_digitalmente,117230,1,leve,Medellin,fisico,Caja del Tiempo
fotografia,papel,bueno,restaurar,87222,1,leve,Bucaramanga,fisico,Cuadro de Historia
fotografia,vidrio,bueno,restaurar,43521,2,ninguna,Bogota,fisico,Peluche Memoria
mueble,papel,muy_danado,recordar_digitalmente,59454,1,ninguna,Bucaramanga,fisico,Restauración Especial
peluche,tela,muy_danado,compartir,105972,1,ninguna,Barranquilla,fisico,Restauración Especial
otro_objeto,papel,bueno,transformar,124334,2,ninguna,Medellin,fisico,Restauración Especial
mueble,cuero,danado,compartir,164885,1,total,Bogota,fisico,Restauración Especial
prenda_textil,metal,muy_danado,compartir,196985,3,total,Cali,digital,Memorial Digital
reloj_instrumento,cuero,bueno,transformar,109504,1,moderada,Cali,digital,Memorial Digital
otro_objeto,papel,bueno,conservar,60366,1,ninguna,Cali,digital,Memorial Digital
peluche,peluche_sintetico,bueno,compartir,30000,1,total,Bogota,digital,Memorial Digital
carta_documento,peluche_sintetico,bueno,recordar_digitalmente,104369,1,leve,Barranquilla,fisico,Libro de Memorias
prenda_textil,peluche_sintetico,danado,conservar,66547,2,leve,Barranquilla,digital,Memorial Digital
peluche,vidrio,bueno,restaurar,80462,1,moderada,Cali,fisico,Peluche Memoria
fotografia,madera,muy_danado,conservar,73576,1,ninguna,Bogota,fisico,Cuadro de Historia
joya_pequena,cuero,muy_danado,compartir,90072,1,moderada,Cali,fisico,Caja del Tiempo
prenda_textil,tela,regular,restaurar,132309,2,ninguna,Bogota,fisico,Almohada Abrazo
reloj_instrumento,mixto,muy_danado,compartir,100496,1,ninguna,Cali,fisico,Restauración Especial
carta_documento,mixto,danado,conservar,89447,1,ninguna,Bogota,fisico,Libro de Memorias
joya_pequena,madera,danado,transformar,58752,1,ninguna,Barranquilla,fisico,Caja del Tiempo
fotografia,madera,muy_danado,recordar_digitalmente,36386,2,moderada,Bogota,fisico,Cuadro de Historia
peluche,cuero,bueno,compartir,77979,4,moderada,Bucaramanga,fisico,Peluche Memoria
reloj_instrumento,cuero,danado,conservar,93117,1,moderada,Medellin,digital,Memorial Digital
otro_objeto,peluche_sintetico,bueno,compartir,156877,3,leve,Barranquilla,fisico,Recuerdo Compartido
prenda_textil,cuero,danado,transformar,99559,1,leve,Bogota,fisico,Almohada Abrazo
prenda_textil,metal,danado,transformar,129395,2,leve,Medellin,fisico,Almohada Abrazo
carta_documento,metal,regular,recordar_digitalmente,77524,1,ninguna,Medellin,digital,Memorial Digital
otro_objeto,mixto,muy_danado,recordar_digitalmente,53526,2,moderada,Cali,fisico,Restauración Especial
prenda_textil,mixto,muy_danado,transformar,61220,2,ninguna,Cali,fisico,Almohada Abrazo
carta_documento,mixto,muy_danado,conservar,69617,1,moderada,Bogota,fisico,Libro de Memorias
prenda_textil,cuero,muy_danado,recordar_digitalmente,169496,2,ninguna,Barranquilla,digital,Memorial Digital
joya_pequena,peluche_sintetico,muy_danado,recordar_digitalmente,66251,1,ninguna,Barranquilla,fisico,Caja del Tiempo
mueble,papel,regular,conservar,124347,1,total,Barranquilla,fisico,Restauración Especial
fotografia,peluche_sintetico,danado,transformar,63397,1,moderada,Bucaramanga,fisico,Cuadro de Historia
mueble,papel,danado,conservar,127605,2,total,Cali,fisico,Restauración Especial
fotografia,peluche_sintetico,bueno,recordar_digitalmente,108473,2,moderada,Cali,digital,Memorial Digital
reloj_instrumento,madera,bueno,transformar,89517,2,moderada,Medellin,fisico,Restauración Especial
prenda_textil,cuero,danado,conservar,93573,1,leve,Medellin,fisico,Almohada Abrazo
otro_objeto,metal,regular,restaurar,72082,1,moderada,Bogota,fisico,Restauración Especial
peluche,peluche_sintetico,regular,recordar_digitalmente,110612,1,leve,Medellin,digital,Memorial Digital
fotografia,mixto,bueno,compartir,79075,1,leve,Barranquilla,fisico,Cuadro de Historia
otro_objeto,metal,regular,transformar,52103,5,total,Medellin,fisico,Restauración Especial
otro_objeto,mixto,danado,compartir,50272,1,total,Medellin,digital,Memorial Digital
fotografia,vidrio,bueno,compartir,101040,3,ninguna,Bucaramanga,digital,Memorial Digital
carta_documento,papel,regular,transformar,150268,1,leve,Barranquilla,fisico,Libro de Memorias
joya_pequena,mixto,danado,conservar,100599,1,total,Bucaramanga,fisico,Caja del Tiempo
reloj_instrumento,papel,danado,restaurar,90847,1,ninguna,Cali,fisico,Restauración Especial
fotografia,tela,danado,compartir,105003,2,leve,Barranquilla,fisico,Cuadro de Historia
peluche,papel,bueno,transformar,140710,1,leve,Bucaramanga,digital,Memorial Digital
reloj_instrumento,papel,danado,restaurar,102678,1,ninguna,Medellin,fisico,Restauración Especial
otro_objeto,papel,bueno,compartir,80617,2,ninguna,Bucaramanga,fisico,Recuerdo Compartido
fotografia,vidrio,muy_danado,conservar,133720,2,leve,Bucaramanga,fisico,Cuadro de Historia
prenda_textil,peluche_sintetico,bueno,recordar_digitalmente,110006,1,ninguna,Barranquilla,digital,Memorial Digital
peluche,cuero,danado,transformar,148751,2,moderada,Bogota,fisico,Restauración Especial
prenda_textil,peluche_sintetico,regular,conservar,101413,1,moderada,Medellin,digital,Memorial Digital
otro_objeto,mixto,regular,restaurar,52143,1,total,Bogota,fisico,Restauración Especial
peluche,metal,bueno,transformar,47114,4,total,Bucaramanga,fisico,Peluche Memoria
peluche,metal,danado,transformar,152782,3,ninguna,Cali,fisico,Restauración Especial
mueble,cuero,muy_danado,compartir,155328,3,total,Cali,digital,Memorial Digital
otro_objeto,mixto,danado,recordar_digitalmente,88716,1,ninguna,Barranquilla,fisico,Restauración Especial
fotografia,vidrio,danado,conservar,81588,1,moderada,Cali,fisico,Cuadro de Historia
reloj_instrumento,madera,muy_danado,transformar,146150,1,moderada,Bucaramanga,digital,Cuadro de Historia
carta_documento,tela,bueno,compartir,56253,1,leve,Bogota,fisico,Libro de Memorias
otro_objeto,tela,regular,conservar,63684,1,moderada,Cali,fisico,Restauración Especial
peluche,madera,muy_danado,transformar,117516,1,ninguna,Bucaramanga,fisico,Restauración Especial
mueble,cuero,danado,transformar,81188,1,ninguna,Bogota,fisico,Restauración Especial
otro_objeto,cuero,bueno,transformar,94820,2,total,Medellin,digital,Memorial Digital
carta_documento,mixto,regular,conservar,89279,1,ninguna,Barranquilla,fisico,Libro de Memorias
otro_objeto,papel,danado,transformar,106815,2,moderada,Cali,digital,Memorial Digital
fotografia,peluche_sintetico,regular,conservar,144261,5,leve,Medellin,fisico,Cuadro de Historia
peluche,peluche_sintetico,danado,compartir,98170,3,leve,Bucaramanga,digital,Memorial Digital
prenda_textil,vidrio,muy_danado,compartir,117537,1,total,Bucaramanga,fisico,Almohada Abrazo
mueble,papel,muy_danado,compartir,30000,2,moderada,Medellin,digital,Memorial Digital
fotografia,madera,muy_danado,recordar_digitalmente,93294,4,ninguna,Bogota,fisico,Cuadro de Historia
carta_documento,madera,regular,transformar,65486,4,leve,Cali,digital,Memorial Digital
carta_documento,papel,danado,restaurar,52341,2,moderada,Medellin,fisico,Libro de Memorias
prenda_textil,madera,regular,restaurar,64264,2,moderada,Bucaramanga,fisico,Almohada Abrazo
peluche,papel,bueno,recordar_digitalmente,83305,1,leve,Bucaramanga,fisico,Peluche Memoria
peluche,mixto,danado,transformar,127056,1,total,Cali,fisico,Memorial Digital
peluche,madera,muy_danado,compartir,48576,1,leve,Cali,fisico,Restauración Especial
mueble,peluche_sintetico,danado,compartir,96072,1,moderada,Bucaramanga,fisico,Restauración Especial
mueble,metal,muy_danado,conservar,78054,1,leve,Medellin,fisico,Restauración Especial
carta_documento,cuero,muy_danado,restaurar,83531,5,leve,Cali,digital,Memorial Digital
mueble,metal,regular,compartir,130096,5,total,Barranquilla,digital,Memorial Digital
otro_objeto,tela,bueno,compartir,113834,1,leve,Medellin,fisico,Restauración Especial
peluche,tela,danado,compartir,141808,2,total,Cali,fisico,Recuerdo Compartido
prenda_textil,cuero,regular,transformar,89592,2,total,Cali,fisico,Almohada Abrazo
peluche,metal,danado,recordar_digitalmente,70642,1,total,Bucaramanga,fisico,Restauración Especial
carta_documento,papel,regular,conservar,87164,1,moderada,Bucaramanga,digital,Memorial Digital
fotografia,metal,muy_danado,recordar_digitalmente,103487,1,ninguna,Medellin,fisico,Cuadro de Historia
otro_objeto,mixto,regular,recordar_digitalmente,101180,3,leve,Cali,digital,Almohada Abrazo
mueble,madera,muy_danado,recordar_digitalmente,57046,2,moderada,Bucaramanga,fisico,Restauración Especial
otro_objeto,vidrio,muy_danado,conservar,98167,1,ninguna,Barranquilla,fisico,Restauración Especial
peluche,mixto,danado,recordar_digitalmente,102987,2,ninguna,Bucaramanga,fisico,Restauración Especial
reloj_instrumento,madera,regular,conservar,183111,2,ninguna,Medellin,fisico,Caja del Tiempo
mueble,cuero,regular,compartir,160689,2,total,Bucaramanga,fisico,Recuerdo Compartido
otro_objeto,tela,regular,recordar_digitalmente,65136,1,moderada,Barranquilla,fisico,Recuerdo Compartido
mueble,madera,muy_danado,recordar_digitalmente,84941,1,moderada,Cali,fisico,Restauración Especial
joya_pequena,metal,danado,recordar_digitalmente,43779,1,moderada,Cali,fisico,Caja del Tiempo
otro_objeto,peluche_sintetico,muy_danado,transformar,74325,2,moderada,Cali,fisico,Restauración Especial
reloj_instrumento,cuero,danado,restaurar,106046,1,moderada,Bogota,fisico,Restauración Especial
otro_objeto,vidrio,muy_danado,restaurar,137204,1,moderada,Bucaramanga,fisico,Restauración Especial
fotografia,papel,regular,restaurar,69482,1,leve,Medellin,fisico,Cuadro de Historia
reloj_instrumento,peluche_sintetico,muy_danado,conservar,72104,2,leve,Bogota,digital,Memorial Digital
fotografia,cuero,muy_danado,compartir,30000,2,moderada,Cali,fisico,Cuadro de Historia
peluche,papel,regular,recordar_digitalmente,89306,2,ninguna,Medellin,fisico,Peluche Memoria
fotografia,tela,muy_danado,compartir,57815,1,moderada,Bogota,fisico,Cuadro de Historia
prenda_textil,peluche_sintetico,danado,compartir,76469,5,total,Medellin,digital,Memorial Digital
otro_objeto,vidrio,regular,conservar,64309,1,total,Cali,fisico,Restauración Especial
peluche,peluche_sintetico,danado,recordar_digitalmente,91700,2,leve,Medellin,fisico,Restauración Especial
reloj_instrumento,cuero,danado,conservar,33479,1,ninguna,Medellin,digital,Memorial Digital
otro_objeto,peluche_sintetico,regular,conservar,43653,1,leve,Barranquilla,fisico,Restauración Especial
mueble,vidrio,bueno,transformar,169523,2,leve,Bogota,fisico,Restauración Especial
otro_objeto,vidrio,regular,compartir,49940,2,moderada,Bogota,fisico,Recuerdo Compartido
carta_documento,peluche_sintetico,regular,restaurar,56612,4,total,Medellin,fisico,Libro de Memorias
mueble,cuero,muy_danado,recordar_digitalmente,159291,3,leve,Medellin,fisico,Restauración Especial
prenda_textil,mixto,danado,conservar,196677,4,ninguna,Bogota,digital,Memorial Digital
joya_pequena,madera,regular,transformar,53995,3,total,Bogota,fisico,Caja del Tiempo
otro_objeto,papel,muy_danado,conservar,82111,1,total,Barranquilla,fisico,Restauración Especial
otro_objeto,vidrio,bueno,compartir,106954,1,ninguna,Medellin,fisico,Restauración Especial
peluche,cuero,danado,conservar,155504,1,ninguna,Bogota,digital,Memorial Digital
otro_objeto,tela,danado,compartir,60460,1,leve,Barranquilla,fisico,Restauración Especial
reloj_instrumento,mixto,muy_danado,compartir,86415,1,leve,Cali,fisico,Restauración Especial
reloj_instrumento,madera,regular,conservar,122206,2,moderada,Barranquilla,fisico,Caja del Tiempo
reloj_instrumento,cuero,regular,restaurar,110216,1,leve,Cali,fisico,Restauración Especial
prenda_textil,tela,muy_danado,recordar_digitalmente,81834,2,ninguna,Medellin,fisico,Almohada Abrazo
prenda_textil,tela,muy_danado,recordar_digitalmente,90316,2,ninguna,Medellin,fisico,Almohada Abrazo
reloj_instrumento,mixto,regular,recordar_digitalmente,46878,1,ninguna,Medellin,fisico,Restauración Especial
carta_documento,metal,danado,recordar_digitalmente,86663,2,moderada,Medellin,fisico,Libro de Memorias
fotografia,metal,muy_danado,transformar,85676,1,leve,Barranquilla,fisico,Cuadro de Historia
peluche,peluche_sintetico,muy_danado,recordar_digitalmente,103125,1,total,Barranquilla,fisico,Restauración Especial
reloj_instrumento,madera,muy_danado,restaurar,75563,3,moderada,Medellin,digital,Memorial Digital
peluche,cuero,muy_danado,recordar_digitalmente,111503,1,total,Medellin,fisico,Restauración Especial
mueble,papel,muy_danado,transformar,130445,1,leve,Bogota,fisico,Restauración Especial
peluche,papel,regular,recordar_digitalmente,100440,2,leve,Barranquilla,fisico,Peluche Memoria
mueble,vidrio,bueno,restaurar,107311,4,ninguna,Barranquilla,digital,Memorial Digital
joya_pequena,cuero,regular,recordar_digitalmente,96860,1,moderada,Barranquilla,fisico,Caja del Tiempo
mueble,vidrio,danado,transformar,95002,1,total,Barranquilla,fisico,Restauración Especial
otro_objeto,peluche_sintetico,regular,transformar,69745,1,ninguna,Bucaramanga,digital,Memorial Digital
fotografia,tela,danado,recordar_digitalmente,106077,4,total,Cali,fisico,Cuadro de Historia
mueble,metal,muy_danado,recordar_digitalmente,91594,3,total,Bucaramanga,fisico,Restauración Especial
mueble,vidrio,muy_danado,compartir,168260,1,moderada,Medellin,fisico,Restauración Especial
otro_objeto,madera,bueno,recordar_digitalmente,150067,1,ninguna,Bogota,fisico,Restauración Especial
reloj_instrumento,madera,regular,conservar,108504,2,ninguna,Medellin,fisico,Caja del Tiempo
mueble,tela,muy_danado,compartir,68292,1,total,Bogota,fisico,Restauración Especial
carta_documento,vidrio,bueno,recordar_digitalmente,56065,3,total,Medellin,fisico,Libro de Memorias
prenda_textil,madera,regular,restaurar,136690,2,moderada,Cali,fisico,Almohada Abrazo
reloj_instrumento,papel,danado,compartir,104196,1,leve,Medellin,fisico,Restauración Especial
prenda_textil,tela,bueno,compartir,111805,1,total,Bogota,fisico,Almohada Abrazo
fotografia,papel,muy_danado,compartir,33939,2,moderada,Bucaramanga,digital,Memorial Digital
prenda_textil,tela,regular,restaurar,127460,4,total,Cali,fisico,Almohada Abrazo
prenda_textil,vidrio,bueno,restaurar,110904,4,moderada,Bogota,digital,Memorial Digital
fotografia,cuero,bueno,transformar,56134,1,leve,Bucaramanga,digital,Memorial Digital
reloj_instrumento,peluche_sintetico,muy_danado,restaurar,78496,2,ninguna,Bucaramanga,fisico,Restauración Especial
mueble,tela,bueno,compartir,104230,1,ninguna,Cali,fisico,Almohada Abrazo
reloj_instrumento,peluche_sintetico,bueno,transformar,96836,2,total,Barranquilla,fisico,Restauración Especial
reloj_instrumento,cuero,regular,recordar_digitalmente,84774,2,ninguna,Bucaramanga,fisico,Restauración Especial
joya_pequena,papel,bueno,transformar,91377,1,leve,Barranquilla,fisico,Caja del Tiempo
prenda_textil,papel,bueno,transformar,86180,1,moderada,Bogota,fisico,Almohada Abrazo
fotografia,cuero,muy_danado,recordar_digitalmente,100339,2,total,Bogota,fisico,Cuadro de Historia
mueble,papel,danado,compartir,146502,1,total,Barranquilla,fisico,Restauración Especial
joya_pequena,madera,muy_danado,restaurar,30000,1,moderada,Cali,fisico,Caja del Tiempo
prenda_textil,madera,muy_danado,transformar,86710,1,total,Bogota,fisico,Almohada Abrazo
joya_pequena,mixto,regular,compartir,101177,1,moderada,Bogota,digital,Memorial Digital
